Payload,Orbit,Customer,Flight_No.,Date,Time,Version_Booster,Launch_site,Payload_mass,Launch_outcome,Booster_landing,Class
Crew-6,LEO,SpaceX,207,2 March 2023,05:34,F9 B5,KSC,"~13,000 kg","Success
",Success,1
Starlink Group 2-7,LEO,SpaceX,208,3 March 2023,18:38,F9 B5,VSFB,"15,900 kg","Success
",Success,1
OneWeb #17,LEO,SpaceX,209,9 March 2023,19:13,F9 B5,CCSFS,"6,000 kg","Success
",Success,1
SpaceX CRS-27,LEO,SpaceX,210,15 March 2023,00:30,F9 B5B1073.7,KSC,"2,852 kg","Success
",Success,1
Starlink Group 2-8,LEO,SpaceX,211,17 March 2023,19:26,F9 B5,VSFB,"~16,200 kg","Success
",Success,1
SES-18 and SES-19,GTO,SpaceX,212,17 March 2023,23:38,F9 B5,CCSFS,"~7,000 kg","Success
",Success,1
Starlink Group 5-5,LEO,SpaceX,213,24 March 2023,15:43,F9 B5,CCSFS,"~17,400 kg","Success
",Success,1
Starlink Group 5-10,LEO,SpaceX,214,29 March 2023,20:01,F9 B5,CCSFS,"~17,400 kg","Success
",Success,1
Transport and Tracking Layer (Tranche 0A),LEO,SpaceX,215,2 April 2023,14:29,F9 B5,VSFB,U,"Success
",Success,1
Intelsat 40e,GTO,SpaceX,216,7 April 2023,04:30,F9 B5,CCSFS,"~5,588 kg","Success
",Success,1
Transporter-7: (51 payloads Smallsat Rideshare),SSO,SpaceX,217,15 April 2023,06:47,F9 B5,VSFB,U,"Success
",Success,1
Starlink Group 6-2,LEO,SpaceX,218,19 April 2023,14:31,F9 B5,CCSFS,"~16,900 kg","Success
",Success,1
Starlink Group 3-5,SSO,SpaceX,219,27 April 2023,13:40,F9 B5,VSFB,"~14,100 kg","Success
",Success,1
O3b mPOWER,MEO,SpaceX,220,28 April 2023,22:12,F9 B5B1078.2,CCSFS,"~4,100 kg","Success
",Success,1
Starlink Group 5-6,LEO,SpaceX,221,4 May 2023,07:31,F9 B5B1069.7,CCSFS,"~17,400 kg","Success
",Success,1
Starlink Group 2-9,LEO,SpaceX,222,10 May 2023,20:09,F9 B5B1075.3,VSFB,"15,900 kg","Success
",Success,1
Starlink Group 5-9,LEO,SpaceX,223,14 May 2023,05:03,F9 B5,CCSFS,"~17,400 kg","Success
",Success,1
Starlink Group 6-3,LEO,SpaceX,224,19 May 2023,06:19,F9 B5,CCSFS,"~17,600 kg","Success
",Success,1
Iridium-NEXT,Polar,SpaceX,225,20 May 2023,13:16,F9 B5,VSFB,"~6,600 kg","Success
",Success,1
Ax-2,LEO,SpaceX,226,21 May 2023,21:37,F9 B5,KSC,"~13,000 kg","Success
",Success,1
ArabSat 7B,GTO,SpaceX,227,27 May 2023,04:30,F9 B5,CCSFS,"~4,500 kg","Success
",Success,1
Starlink Group 2-10,LEO,SpaceX,228,31 May 2023,06:02,F9 B5,VSFB,"~16,400 kg","Success
",Success,1
Starlink Group 6-4,LEO,SpaceX,229,4 June 2023,12:20,F9 B5,CCSFS,"~17,600 kg","Success
",Success,1
SpaceX CRS-28,LEO,SpaceX,230,5 June 2023,15:47,F9 B5B1077.5,KSC,"~9,525 kg","Success
",Success,1
Starlink Group 5-11,LEO,SpaceX,231,12 June 2023,07:10,F9 B5,CCSFS,"~16,400 kg","Success
",Success,1
,SSO,SpaceX,232,12 June 2023,21:35,F9 B5,VSFB,U,"Success
",Success,1
SATRIA,GTO,SpaceX,233,18 June 2023,22:21,F9 B5B1067.12,CCSFS,"~4,580 kg","Success
",Success,1
Starlink Group 5-7,LEO,SpaceX,234,22 June 2023,07:19,F9 B5B1075.4,VSFB,"~14,500 kg","Success
",Success,1
Starlink Group 5-12,LEO,SpaceX,235,23 June 2023,15:35,F9 B5,CCSFS,"~17,400 kg","Success
",Success,1
Euclid,,SpaceX,236,1 July 2023,15:12,F9 B5,CCSFS,"~2,160 kg","Success
",Success,1
Starlink Group 5-13,LEO,SpaceX,237,7 July 2023,19:29,F9 B5B1063.12,VSFB,"~14,900 kg","Success
",Success,1
Starlink Group 6-5,LEO,SpaceX,238,10 July 2023,03:58,F9 B5,CCSFS,"~17,600 kg","Success
",Success,1
Starlink Group 5-15,LEO,SpaceX,239,16 July 2023,03:50,F9 B5B1060.16,CCSFS,"~16,700 kg","Success
",Success,1
Starlink Group 6-15,LEO,SpaceX,240,20 July 2023,04:09,F9 B5,VSFB,"~12,000 kg","Success
",Success,1
Starlink Group 6-6,LEO,SpaceX,241,24 July 2023,00:50,F9 B5,CCSFS,"~17,600 kg","Success
",Success,1
Starlink Group 6-7,LEO,SpaceX,242,28 July 2023,04:01,F9 B5,CCSFS,"~17,600 kg","Success
",Success,1
Galaxy 37,GTO,SpaceX,243,3 August 2023,05:00,F9 B5,CCSFS,"~5,063 kg","Success
",Success,1
Starlink Group 6-8,LEO,SpaceX,244,7 August 2023,02:41,F9 B5,CCSFS,"~17,600 kg","Success
",Success,1
Starlink Group 6-20,LEO,SpaceX,245,8 August 2023,03:57,F9 B5,VSFB,"~12,000 kg","Success
",Success,1
Starlink Group 6-9,LEO,SpaceX,246,11 August 2023,05:17,F9 B5,CCSFS,"~17,600 kg","Success
",Success,1
Starlink Group 6-10,LEO,SpaceX,247,17 August 2023,03:36,F9 B5,CCSFS,"~17,600 kg","Success
",Success,1
Starlink Group 7-1,LEO,SpaceX,248,22 August 2023,09:37,F9 B5,VSFB,"~16,800 kg","Success
",Success,1
Crew-7,LEO,SpaceX,249,26 August 2023,07:27,F9 B5,KSC,"~13,000 kg","Success
",Success,1
Starlink Group 6-11,LEO,SpaceX,250,27 August 2023,01:05,F9 B5,CCSFS,"~17,600 kg","Success
",Success,1
Starlink Group 6-13,LEO,SpaceX,251,1 September 2023,02:21,F9 B5,CCSFS,"~17,600 kg","Success
",Success,1
Transport and Tracking Layer (Tranche 0B),LEO,SpaceX,252,2 September 2023,[617],F9 B5,VSFB,U,"Success
",Success,1
Starlink Group 6-12,LEO,SpaceX,253,4 September 2023,02:47,F9 B5,KSC,"~16,800 kg","Success
",Success,1
Starlink Group 6-14,LEO,SpaceX,254,9 September 2023,03:12,F9 B5,CCSFS,"~17,600 kg","Success
",Success,1
Starlink Group 7-2,LEO,SpaceX,255,12 September 2023,06:57,F9 B5,VSFB,"~16,800 kg","Success
",Success,1
Starlink Group 6-16,LEO,SpaceX,256,16 September 2023,03:38,F9 B5,CCSFS,"~17,600 kg","Success
",Success,1
Starlink Group 6-17,LEO,SpaceX,257,20 September 2023,03:38,F9 B5,CCSFS,"~17,600 kg","Success
",Success,1
Starlink Group 6-18,LEO,SpaceX,258,24 September 2023,03:38,F9 B5,CCSFS,"~17,600 kg","Success
",Success,1
Starlink Group 7-3,LEO,SpaceX,259,25 September 2023,08:48,F9 B5,VSFB,"~16,800 kg","Success
",Success,1
Starlink Group 6-19,LEO,SpaceX,260,30 September 2023,02:00,F9 B5,CCSFS,"~17,600 kg","Success
",Success,1
Starlink Group 6-21,LEO,SpaceX,261,5 October 2023,05:36,F9 B5,CCSFS,"~17,600 kg","Success
",Success,1
Starlink Group 7-4,LEO,SpaceX,262,9 October 2023,07:23,F9 B5,VSFB,"~16,800 kg","Success
",Success,1
Starlink Group 6-22,LEO,SpaceX,263,13 October 2023,23:01,F9 B5,CCSFS,"~17,600 kg","Success
",Success,1
Starlink Group 6-23,LEO,SpaceX,264,18 October 2023,00:39,F9 B5,CCSFS,"~17,600 kg","Success
",Success,1
Starlink Group 7-5,LEO,SpaceX,265,21 October 2023,08:23,F9 B5,VSFB,"~16,800 kg","Success
",Success,1
Starlink Group 6-24,LEO,SpaceX,266,22 October 2023,02:17,F9 B5,CCSFS,"~18,400 kg","Success
",Success,1
Starlink Group 7-6,LEO,SpaceX,267,29 October 2023,09:00,F9 B5,VSFB,"~17,600 kg","Success
",Success,1
Starlink Group 6-25,LEO,SpaceX,268,30 October 2023,23:20,F9 B5,CCSFS,"~18,400 kg","Success
",Success,1
Starlink Group 6-26,LEO,SpaceX,269,4 November 2023,00:37,F9 B5,CCSFS,"~18,400 kg","Success
",Success,1
Starlink Group 6-27,LEO,SpaceX,270,8 November 2023,05:05,F9 B5,CCSFS,"~18,400 kg","Success
",Success,1
SpaceX CRS-29,LEO,SpaceX,271,10 November 2023,01:28,F9 B5,KSC,"~9,525 kg","Success
",Success,1
,SSO,SpaceX,272,11 November 2023,18:49,F9 B5,VSFB,U,"Success
",Success,1
O3b mPOWER,MEO,SpaceX,273,12 November 2023,21:08,F9 B5,CCSFS,"~4,100 kg","Success
",Success,1
Starlink Group 6-28,LEO,SpaceX,274,18 November 2023,05:05,F9 B5,CCSFS,"~18,400 kg","Success
",Success,1
Starlink Group 7-7,LEO,SpaceX,275,20 November 2023,10:30,F9 B5,VSFB,"~17,600 kg","Success
",Success,1
Starlink Group 6-29,LEO,SpaceX,276,22 November 2023,07:47,F9 B5,CCSFS,"~18,400 kg","Success
",Success,1
Starlink Group 6-30,LEO,SpaceX,277,28 November 2023,04:20,F9 B5,CCSFS,"~18,400 kg","Success
",Success,1
[657],SSO,SpaceX,278,1 December 2023,18:19,F9 B5,VSFB,~800 kg,"Success
",Success,1
Starlink Group 6-31,LEO,SpaceX,279,3 December 2023,04:00,F9 B5,CCSFS,"~18,400 kg","Success
",Success,1
Starlink Group 6-33,LEO,SpaceX,280,7 December 2023,05:07,F9 B5,CCSFS,"~18,400 kg","Success
",Success,1
Starlink Group 7-8,LEO,SpaceX,281,8 December 2023,08:03,F9 B5,VSFB,"~17,600 kg","Success
",Success,1
Starlink Group 6-34,LEO,SpaceX,282,19 December 2023,04:01,F9 B5,CCSFS,"~18,400 kg","Success
",Success,1
Starlink Group 6-32,LEO,SpaceX,283,23 December 2023,05:33,F9 B5,CCSFS,"~18,400 kg","Success
",Success,1
SARah,SSO,SpaceX,284,24 December 2023,13:11,F9 B5,VSFB,"~3,600 kg","Success
",Success,1
Starlink Group 6-36,LEO,SpaceX,285,29 December 2023,04:01,F9 B5,CCSFS,"~18,400 kg","Success
",Success,1
Starlink Group 7-9,LEO,SpaceX,286,3 January 2024,03:44,F9 B5,VSFB,">16,800 kg","Success
",Success,1
Ovzon-3,GTO,SpaceX,287,3 January 2024,23:04,F9 B5,CCSFS,"1,800 kg","Success
",Success,1
Starlink Group 6-35,LEO,SpaceX,288,7 January 2024,22:35,F9 B5,CCSFS,"~18,400 kg","Success
",Success,1
Starlink Group 7-10,LEO,SpaceX,289,14 January 2024,08:59,F9 B5,VSFB,"~17,600 kg","Success
",Success,1
Starlink Group 6-37,LEO,SpaceX,290,15 January 2024,01:52,F9 B5,CCSFS,"~18,400 kg","Success
",Success,1
Ax-3,LEO,SpaceX,291,18 January 2024,21:49,F9 B5,KSC,"~13,000 kg","Success
",Success,1
Starlink Group 7-11,LEO,SpaceX,292,24 January 2024,00:35,F9 B5,VSFB,"~17,600 kg","Success
",Success,1
